root,"root node",,0
1794,"dedicator of cytokinesis 2",v14_40,1
1794,"dedicator of cytokinesis 2",v15_40,1
1794,"dedicator of cytokinesis 2",v16_40,1
1794,"dedicator of cytokinesis 2",v32_40,1
1796,"docking protein 1",v16_40,1
1797,"decapping exoribonuclease",v24_40,1
1797,"decapping exoribonuclease",v37_40,1
1800,"dipeptidase 1",v24_40,1
1800,"dipeptidase 1",v29_40,1
1800,"dipeptidase 1",v34_40,1
1800,"dipeptidase 1",v38_40,1
1801,"diphthamide biosynthesis 1",v02_40,1
1801,"diphthamide biosynthesis 1",v35_40,1
1802,"diphthamide biosynthesis 2",v26_40,1
1803,"dipeptidyl peptidase 4",v21_40,1
1803,"dipeptidyl peptidase 4",v22_40,1
1803,"dipeptidyl peptidase 4",v31_40,1
1803,"dipeptidyl peptidase 4",v34_40,1
1803,"dipeptidyl peptidase 4",v40_40,1
1807,"dihydropyrimidinase",v15_40,1
1807,"dihydropyrimidinase",v22_40,1
1807,"dihydropyrimidinase",v31_40,1
1807,"dihydropyrimidinase",v34_40,1
1810,"down-regulator of transcription 1",v15_40,1
1810,"down-regulator of transcription 1",v21_40,1
1810,"down-regulator of transcription 1",v24_40,1
1811,"solute carrier family 26 member 3",v22_40,1
1811,"solute carrier family 26 member 3",v29_40,1
1811,"solute carrier family 26 member 3",v30_40,1
1811,"solute carrier family 26 member 3",v39_40,1
1812,"dopamine receptor D1",v01_40,1
1813,"dopamine receptor D2",v03_40,1
1813,"dopamine receptor D2",v35_40,1
1813,"dopamine receptor D2",v38_40,1
1814,"dopamine receptor D3",v38_40,1
1816,"dopamine receptor D5",v28_40,1
1820,"AT-rich interaction domain 3A",v16_40,1
1820,"AT-rich interaction domain 3A",v21_40,1
1822,"atrophin 1",v17_40,1
1822,"atrophin 1",v35_40,1
1823,"desmocollin 1",v19_40,1
1823,"desmocollin 1",v25_40,1
1823,"desmocollin 1",v39_40,1
1824,"desmocollin 2",v12_40,1
1824,"desmocollin 2",v21_40,1
1824,"desmocollin 2",v22_40,1
1824,"desmocollin 2",v27_40,1
1824,"desmocollin 2",v40_40,1
1825,"desmocollin 3",v19_40,1
1825,"desmocollin 3",v21_40,1
1825,"desmocollin 3",v22_40,1
1825,"desmocollin 3",v27_40,1
1825,"desmocollin 3",v39_40,1
1828,"desmoglein 1",v19_40,1
1828,"desmoglein 1",v27_40,1
1828,"desmoglein 1",v39_40,1
1830,"desmoglein 3",v12_40,1
1830,"desmoglein 3",v19_40,1
1830,"desmoglein 3",v27_40,1
1833,"epiphycan",v21_40,1
1834,"dentin sialophosphoprotein",v38_40,1
1837,"dystrobrevin alpha",v01_40,1
1837,"dystrobrevin alpha",v02_40,1
1837,"dystrobrevin alpha",v03_40,1
1837,"dystrobrevin alpha",v04_40,1
1837,"dystrobrevin alpha",v07_40,1
1837,"dystrobrevin alpha",v25_40,1
1837,"dystrobrevin alpha",v26_40,1
1838,"dystrobrevin beta",v40_40,1
1839,"heparin binding EGF like growth factor",v32_40,1
1841,"deoxythymidylate kinase",v16_40,1
1844,"dual specificity phosphatase 2",v14_40,1
1845,"dual specificity phosphatase 3",v26_40,1
1846,"dual specificity phosphatase 4",v21_40,1
1847,"dual specificity phosphatase 5",v27_40,1
1850,"dual specificity phosphatase 8",v01_40,1
1850,"dual specificity phosphatase 8",v02_40,1
1850,"dual specificity phosphatase 8",v35_40,1
1852,"dual specificity phosphatase 9",v21_40,1
1852,"dual specificity phosphatase 9",v34_40,1
1854,"deoxyuridine triphosphatase",v15_40,1
1854,"deoxyuridine triphosphatase",v16_40,1
1854,"deoxyuridine triphosphatase",v36_40,1
1857,"dishevelled segment polarity protein 3",v21_40,1
1859,"dual specificity tyrosine phosphorylation regulated kinase 1A",v24_40,1
1859,"dual specificity tyrosine phosphorylation regulated kinase 1A",v38_40,1
1861,"torsin family 1 member A",v15_40,1
1861,"torsin family 1 member A",v16_40,1
1861,"torsin family 1 member A",v22_40,1
1869,"E2F transcription factor 1",v16_40,1
1874,"E2F transcription factor 4",v16_40,1
1874,"E2F transcription factor 4",v38_40,1
1880,"G protein-coupled receptor 183",v12_40,1
1880,"G protein-coupled receptor 183",v14_40,1
1880,"G protein-coupled receptor 183",v32_40,1
1889,"endothelin converting enzyme 1",v37_40,1
1892,"enoyl-CoA hydratase, short chain 1",v31_40,1
1892,"enoyl-CoA hydratase, short chain 1",v34_40,1
1893,"extracellular matrix protein 1",v27_40,1
1894,"epithelial cell transforming 2",v15_40,1
1894,"epithelial cell transforming 2",v16_40,1
1894,"epithelial cell transforming 2",v24_40,1
1896,"ectodysplasin A",v25_40,1
1896,"ectodysplasin A",v37_40,1
1902,"lysophosphatidic acid receptor 1",v04_40,1
1906,"endothelin 1",v32_40,1
1907,"endothelin 2",v27_40,1
1908,"endothelin 3",v35_40,1
1908,"endothelin 3",v36_40,1
1908,"endothelin 3",v40_40,1
1909,"endothelin receptor type A",v20_40,1
1909,"endothelin receptor type A",v22_40,1
1909,"endothelin receptor type A",v23_40,1
1909,"endothelin receptor type A",v25_40,1
1909,"endothelin receptor type A",v32_40,1
1910,"endothelin receptor type B",v07_40,1
1911,"polyhomeotic homolog 1",v15_40,1
1911,"polyhomeotic homolog 1",v24_40,1
1911,"polyhomeotic homolog 1",v35_40,1
1943,"ephrin A2",v30_40,1
1948,"ephrin B2",v32_40,1
1949,"ephrin B3",v01_40,1
1949,"ephrin B3",v38_40,1
1950,"epidermal growth factor",v26_40,1
1950,"epidermal growth factor",v34_40,1
1950,"epidermal growth factor",v38_40,1
1950,"epidermal growth factor",v40_40,1
1951,"cadherin EGF LAG seven-pass G-type receptor 3",v01_40,1
1951,"cadherin EGF LAG seven-pass G-type receptor 3",v02_40,1
1951,"cadherin EGF LAG seven-pass G-type receptor 3",v35_40,1
1956,"epidermal growth factor receptor",v21_40,1
1961,"early growth response 4",v01_40,1
1961,"early growth response 4",v02_40,1
1961,"early growth response 4",v04_40,1
1961,"early growth response 4",v24_40,1
1962,"enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase",v22_40,1
1962,"enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase",v31_40,1
1962,"enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase",v34_40,1
1968,"eukaryotic translation initiation factor 2 subunit gamma",v15_40,1
1968,"eukaryotic translation initiation factor 2 subunit gamma",v23_40,1
1968,"eukaryotic translation initiation factor 2 subunit gamma",v38_40,1
1969,"EPH receptor A2",v27_40,1
1969,"EPH receptor A2",v40_40,1
1974,"eukaryotic translation initiation factor 4A2",v02_40,1
1975,"eukaryotic translation initiation factor 4B",v23_40,1
1975,"eukaryotic translation initiation factor 4B",v38_40,1
1977,"eukaryotic translation initiation factor 4E",v03_40,1
1977,"eukaryotic translation initiation factor 4E",v07_40,1
1977,"eukaryotic translation initiation factor 4E",v15_40,1
1978,"eukaryotic translation initiation factor 4E binding protein 1",v40_40,1
1979,"eukaryotic translation initiation factor 4E binding protein 2",v38_40,1
1981,"eukaryotic translation initiation factor 4 gamma 1",v27_40,1
1983,"eukaryotic translation initiation factor 5",v24_40,1
1984,"eukaryotic translation initiation factor 5A",v38_40,1
1991,"elastase, neutrophil expressed",v15_40,1
1991,"elastase, neutrophil expressed",v16_40,1
1991,"elastase, neutrophil expressed",v30_40,1
1992,"serpin family B member 1",v16_40,1
1992,"serpin family B member 1",v27_40,1
1993,"ELAV like RNA binding protein 2",v01_40,1
1993,"ELAV like RNA binding protein 2",v02_40,1
1993,"ELAV like RNA binding protein 2",v03_40,1
1993,"ELAV like RNA binding protein 2",v06_40,1
1993,"ELAV like RNA binding protein 2",v07_40,1
1993,"ELAV like RNA binding protein 2",v24_40,1
1994,"ELAV like RNA binding protein 1",v24_40,1
1996,"ELAV like RNA binding protein 4",v01_40,1
1996,"ELAV like RNA binding protein 4",v02_40,1
1996,"ELAV like RNA binding protein 4",v03_40,1
1996,"ELAV like RNA binding protein 4",v06_40,1
1996,"ELAV like RNA binding protein 4",v07_40,1
1996,"ELAV like RNA binding protein 4",v35_40,1
2001,"E74 like ETS transcription factor 5",v22_40,1
2001,"E74 like ETS transcription factor 5",v34_40,1
2001,"E74 like ETS transcription factor 5",v39_40,1
2001,"E74 like ETS transcription factor 5",v40_40,1
2002,"ETS transcription factor ELK1",v02_40,1
2002,"ETS transcription factor ELK1",v21_40,1
2004,"ETS transcription factor ELK3",v38_40,1
2005,"ETS transcription factor ELK4",v15_40,1
2005,"ETS transcription factor ELK4",v22_40,1
2005,"ETS transcription factor ELK4",v24_40,1
2006,"elastin",v10_40,1
2006,"elastin",v38_40,1
2011,"microtubule affinity regulating kinase 2",v27_40,1
2012,"epithelial membrane protein 1",v17_40,1
2012,"epithelial membrane protein 1",v27_40,1
2012,"epithelial membrane protein 1",v32_40,1
2013,"epithelial membrane protein 2",v32_40,1
2015,"adhesion G protein-coupled receptor E1",v16_40,1
2016,"empty spiracles homeobox 1",v34_40,1
2018,"empty spiracles homeobox 2",v01_40,1
2018,"empty spiracles homeobox 2",v04_40,1
2018,"empty spiracles homeobox 2",v11_40,1
2018,"empty spiracles homeobox 2",v20_40,1
2018,"empty spiracles homeobox 2",v23_40,1
2018,"empty spiracles homeobox 2",v34_40,1
2019,"engrailed homeobox 1",v03_40,1
2019,"engrailed homeobox 1",v11_40,1
2019,"engrailed homeobox 1",v17_40,1
2019,"engrailed homeobox 1",v19_40,1
2019,"engrailed homeobox 1",v26_40,1
2020,"engrailed homeobox 2",v02_40,1
2020,"engrailed homeobox 2",v03_40,1
2021,"endonuclease G",v26_40,1
2026,"enolase 2",v02_40,1
2027,"enolase 3",v25_40,1
2027,"enolase 3",v26_40,1
2027,"enolase 3",v27_40,1
2027,"enolase 3",v31_40,1
2028,"glutamyl aminopeptidase",v20_40,1
2028,"glutamyl aminopeptidase",v21_40,1
2028,"glutamyl aminopeptidase",v34_40,1
2029,"endosulfine alpha",v26_40,1
2033,"E1A binding protein p300",v21_40,1
2034,"endothelial PAS domain protein 1",v21_40,1
2034,"endothelial PAS domain protein 1",v32_40,1
2035,"erythrocyte membrane protein band 4.1",v15_40,1
2035,"erythrocyte membrane protein band 4.1",v16_40,1
2038,"erythrocyte membrane protein band 4.2",v16_40,1
2038,"erythrocyte membrane protein band 4.2",v21_40,1
2039,"dematin actin binding protein",v01_40,1
2039,"dematin actin binding protein",v16_40,1
2039,"dematin actin binding protein",v35_40,1
2041,"EPH receptor A1",v19_40,1
2041,"EPH receptor A1",v27_40,1
2042,"EPH receptor A3",v16_40,1
2042,"EPH receptor A3",v22_40,1
2042,"EPH receptor A3",v26_40,1
2042,"EPH receptor A3",v36_40,1
2042,"EPH receptor A3",v38_40,1
2047,"EPH receptor B1",v02_40,1
2047,"EPH receptor B1",v24_40,1
2048,"EPH receptor B2",v30_40,1
2051,"EPH receptor B6",v15_40,1
2051,"EPH receptor B6",v19_40,1
2052,"epoxide hydrolase 1",v31_40,1
2052,"epoxide hydrolase 1",v37_40,1
2053,"epoxide hydrolase 2",v15_40,1
2053,"epoxide hydrolase 2",v22_40,1
2053,"epoxide hydrolase 2",v31_40,1
2053,"epoxide hydrolase 2",v34_40,1
2054,"syntaxin 2",v24_40,1
2056,"erythropoietin",v38_40,1
2057,"erythropoietin receptor",v16_40,1
2057,"erythropoietin receptor",v31_40,1
2057,"erythropoietin receptor",v34_40,1
2057,"erythropoietin receptor",v36_40,1
2057,"erythropoietin receptor",v37_40,1
2057,"erythropoietin receptor",v38_40,1
2058,"glutamyl-prolyl-tRNA synthetase 1",v40_40,1
2063,"nuclear receptor subfamily 2 group F member 6",v38_40,1
2064,"erb-b2 receptor tyrosine kinase 2",v38_40,1
2067,"ERCC excision repair 1, endonuclease non-catalytic subunit",v40_40,1
2069,"epiregulin",v16_40,1
2069,"epiregulin",v19_40,1
2069,"epiregulin",v27_40,1
2069,"epiregulin",v39_40,1
2070,"EYA transcriptional coactivator and phosphatase 4",v26_40,1
2072,"ERCC excision repair 4, endonuclease catalytic subunit",v24_40,1
2074,"ERCC excision repair 6, chromatin remodeling factor",v24_40,1
2078,"ETS transcription factor ERG",v14_40,1
2081,"endoplasmic reticulum to nucleus signaling 1",v16_40,1
2081,"endoplasmic reticulum to nucleus signaling 1",v38_40,1
2099,"estrogen receptor 1",v11_40,1
2099,"estrogen receptor 1",v20_40,1
2099,"estrogen receptor 1",v38_40,1
2100,"estrogen receptor 2",v02_40,1
2100,"estrogen receptor 2",v15_40,1
2104,"estrogen related receptor gamma",v21_40,1
2109,"electron transfer flavoprotein subunit beta",v31_40,1
2110,"electron transfer flavoprotein dehydrogenase",v25_40,1
2110,"electron transfer flavoprotein dehydrogenase",v26_40,1
2110,"electron transfer flavoprotein dehydrogenase",v31_40,1
2113,"ETS proto-oncogene 1, transcription factor",v14_40,1
2113,"ETS proto-oncogene 1, transcription factor",v15_40,1
2115,"ETS variant transcription factor 1",v02_40,1
2115,"ETS variant transcription factor 1",v06_40,1
2115,"ETS variant transcription factor 1",v40_40,1
2116,"ETS variant transcription factor 2",v24_40,1
2119,"ETS variant transcription factor 5",v35_40,1
2119,"ETS variant transcription factor 5",v37_40,1
2120,"ETS variant transcription factor 6",v11_40,1
2120,"ETS variant transcription factor 6",v40_40,1
2121,"EvC ciliary complex subunit 1",v34_40,1
2124,"ecotropic viral integration site 2B",v12_40,1
2124,"ecotropic viral integration site 2B",v14_40,1
2124,"ecotropic viral integration site 2B",v15_40,1
2124,"ecotropic viral integration site 2B",v16_40,1
2124,"ecotropic viral integration site 2B",v32_40,1
2125,"envoplakin",v19_40,1
2125,"envoplakin",v27_40,1
2130,"EWS RNA binding protein 1",v15_40,1
2130,"EWS RNA binding protein 1",v24_40,1
2131,"exostosin glycosyltransferase 1",v10_40,1
2131,"exostosin glycosyltransferase 1",v11_40,1
2131,"exostosin glycosyltransferase 1",v31_40,1
2131,"exostosin glycosyltransferase 1",v32_40,1
2131,"exostosin glycosyltransferase 1",v39_40,1
2134,"exostosin like glycosyltransferase 1",v06_40,1
2137,"exostosin like glycosyltransferase 3",v24_40,1
2138,"EYA transcriptional coactivator and phosphatase 1",v01_40,1
2138,"EYA transcriptional coactivator and phosphatase 1",v15_40,1
2138,"EYA transcriptional coactivator and phosphatase 1",v22_40,1
2138,"EYA transcriptional coactivator and phosphatase 1",v25_40,1
2138,"EYA transcriptional coactivator and phosphatase 1",v35_40,1
2139,"EYA transcriptional coactivator and phosphatase 2",v22_40,1
2139,"EYA transcriptional coactivator and phosphatase 2",v40_40,1
2146,"enhancer of zeste 2 polycomb repressive complex 2 subunit",v15_40,1
2146,"enhancer of zeste 2 polycomb repressive complex 2 subunit",v16_40,1
2146,"enhancer of zeste 2 polycomb repressive complex 2 subunit",v24_40,1
2147,"coagulation factor II, thrombin",v31_40,1
2149,"coagulation factor II thrombin receptor",v14_40,1
2150,"F2R like trypsin receptor 1",v30_40,1
2151,"coagulation factor II thrombin receptor like 2",v21_40,1
2153,"coagulation factor V",v16_40,1
2153,"coagulation factor V",v21_40,1
2153,"coagulation factor V",v31_40,1
2155,"coagulation factor VII",v31_40,1
2158,"coagulation factor IX",v31_40,1
2159,"coagulation factor X",v11_40,1
2159,"coagulation factor X",v31_40,1
2160,"coagulation factor XI",v31_40,1
2160,"coagulation factor XI",v34_40,1
2160,"coagulation factor XI",v38_40,1
2161,"coagulation factor XII",v27_40,1
2161,"coagulation factor XII",v31_40,1
2162,"coagulation factor XIII A chain",v21_40,1
2165,"coagulation factor XIII B chain",v31_40,1
2168,"fatty acid binding protein 1",v29_40,1
2168,"fatty acid binding protein 1",v30_40,1
2168,"fatty acid binding protein 1",v31_40,1
2168,"fatty acid binding protein 1",v34_40,1
2170,"fatty acid binding protein 3",v06_40,1
2170,"fatty acid binding protein 3",v11_40,1
2170,"fatty acid binding protein 3",v25_40,1
2170,"fatty acid binding protein 3",v26_40,1
2170,"fatty acid binding protein 3",v34_40,1
2172,"fatty acid binding protein 6",v01_40,1
2172,"fatty acid binding protein 6",v03_40,1
2172,"fatty acid binding protein 6",v23_40,1
2172,"fatty acid binding protein 6",v29_40,1
2173,"fatty acid binding protein 7",v01_40,1
2173,"fatty acid binding protein 7",v02_40,1
2173,"fatty acid binding protein 7",v03_40,1
2173,"fatty acid binding protein 7",v04_40,1
2173,"fatty acid binding protein 7",v06_40,1
2173,"fatty acid binding protein 7",v07_40,1
2175,"FA complementation group A",v15_40,1
2175,"FA complementation group A",v16_40,1
2175,"FA complementation group A",v24_40,1
2175,"FA complementation group A",v38_40,1
2176,"FA complementation group C",v31_40,1
2181,"acyl-CoA synthetase long chain family member 3",v22_40,1
2182,"acyl-CoA synthetase long chain family member 4",v21_40,1
2182,"acyl-CoA synthetase long chain family member 4",v37_40,1
2184,"fumarylacetoacetate hydrolase",v17_40,1
2184,"fumarylacetoacetate hydrolase",v31_40,1
2185,"protein tyrosine kinase 2 beta",v02_40,1
2185,"protein tyrosine kinase 2 beta",v12_40,1
2185,"protein tyrosine kinase 2 beta",v14_40,1
2185,"protein tyrosine kinase 2 beta",v15_40,1
2185,"protein tyrosine kinase 2 beta",v16_40,1
2189,"FA complementation group G",v15_40,1
2191,"fibroblast activation protein alpha",v20_40,1
2191,"fibroblast activation protein alpha",v21_40,1
2192,"fibulin 1",v21_40,1
2194,"fatty acid synthase",v17_40,1
2194,"fatty acid synthase",v31_40,1
2196,"FAT atypical cadherin 2",v02_40,1
2196,"FAT atypical cadherin 2",v19_40,1
2196,"FAT atypical cadherin 2",v27_40,1
2196,"FAT atypical cadherin 2",v39_40,1
2201,"fibrillin 2",v21_40,1
2201,"fibrillin 2",v24_40,1
2201,"fibrillin 2",v37_40,1
2203,"fructose-bisphosphatase 1",v31_40,1
2203,"fructose-bisphosphatase 1",v32_40,1
2203,"fructose-bisphosphatase 1",v34_40,1
2204,"Fc fragment of IgA receptor",v10_40,1
2204,"Fc fragment of IgA receptor",v16_40,1
2204,"Fc fragment of IgA receptor",v19_40,1
2204,"Fc fragment of IgA receptor",v38_40,1
2204,"Fc fragment of IgA receptor",v40_40,1
2205,"Fc fragment of IgE receptor Ia",v19_40,1
2205,"Fc fragment of IgE receptor Ia",v27_40,1
2205,"Fc fragment of IgE receptor Ia",v32_40,1
2205,"Fc fragment of IgE receptor Ia",v39_40,1
2207,"Fc fragment of IgE receptor Ig",v16_40,1
2207,"Fc fragment of IgE receptor Ig",v32_40,1
2208,"Fc fragment of IgE receptor II",v12_40,1
2208,"Fc fragment of IgE receptor II",v14_40,1
2208,"Fc fragment of IgE receptor II",v38_40,1
2209,"Fc fragment of IgG receptor Ia",v04_40,1
2209,"Fc fragment of IgG receptor Ia",v07_40,1
2209,"Fc fragment of IgG receptor Ia",v16_40,1
2209,"Fc fragment of IgG receptor Ia",v21_40,1
2209,"Fc fragment of IgG receptor Ia",v32_40,1
2210,"Fc fragment of IgG receptor Ib",v04_40,1
2210,"Fc fragment of IgG receptor Ib",v07_40,1
2210,"Fc fragment of IgG receptor Ib",v16_40,1
2210,"Fc fragment of IgG receptor Ib",v21_40,1
2210,"Fc fragment of IgG receptor Ib",v32_40,1
2212,"Fc fragment of IgG receptor IIa",v21_40,1
2212,"Fc fragment of IgG receptor IIa",v32_40,1
2213,"Fc fragment of IgG receptor IIb",v21_40,1
2213,"Fc fragment of IgG receptor IIb",v32_40,1
2214,"Fc fragment of IgG receptor IIIa",v14_40,1
2214,"Fc fragment of IgG receptor IIIa",v16_40,1
2214,"Fc fragment of IgG receptor IIIa",v21_40,1
2214,"Fc fragment of IgG receptor IIIa",v32_40,1
2215,"Fc fragment of IgG receptor IIIb",v14_40,1
2215,"Fc fragment of IgG receptor IIIb",v16_40,1
2215,"Fc fragment of IgG receptor IIIb",v21_40,1
2215,"Fc fragment of IgG receptor IIIb",v32_40,1
2219,"ficolin 1",v14_40,1
2219,"ficolin 1",v16_40,1
2219,"ficolin 1",v32_40,1
2220,"ficolin 2",v31_40,1
2220,"ficolin 2",v37_40,1
2222,"farnesyl-diphosphate farnesyltransferase 1",v24_40,1
2230,"ferredoxin 1",v21_40,1
2230,"ferredoxin 1",v37_40,1
2232,"ferredoxin reductase",v14_40,1
2232,"ferredoxin reductase",v23_40,1
2232,"ferredoxin reductase",v24_40,1
2232,"ferredoxin reductase",v37_40,1
2235,"ferrochelatase",v15_40,1
2235,"ferrochelatase",v16_40,1
2235,"ferrochelatase",v34_40,1
2237,"flap structure-specific endonuclease 1",v15_40,1
2237,"flap structure-specific endonuclease 1",v16_40,1
2239,"glypican 4",v35_40,1
2241,"FER tyrosine kinase",v24_40,1
2242,"FES proto-oncogene, tyrosine kinase",v14_40,1
2242,"FES proto-oncogene, tyrosine kinase",v16_40,1
2242,"FES proto-oncogene, tyrosine kinase",v40_40,1
2243,"fibrinogen alpha chain",v31_40,1
2244,"fibrinogen beta chain",v31_40,1
2246,"fibroblast growth factor 1",v01_40,1
2246,"fibroblast growth factor 1",v02_40,1
2246,"fibroblast growth factor 1",v03_40,1
2246,"fibroblast growth factor 1",v04_40,1
2246,"fibroblast growth factor 1",v06_40,1
2246,"fibroblast growth factor 1",v07_40,1
2247,"fibroblast growth factor 2",v07_40,1
2248,"fibroblast growth factor 3",v02_40,1
2250,"fibroblast growth factor 5",v02_40,1
2251,"fibroblast growth factor 6",v38_40,1
2252,"fibroblast growth factor 7",v06_40,1
2252,"fibroblast growth factor 7",v20_40,1
2252,"fibroblast growth factor 7",v22_40,1
2252,"fibroblast growth factor 7",v23_40,1
2252,"fibroblast growth factor 7",v25_40,1
2253,"fibroblast growth factor 8",v19_40,1
2253,"fibroblast growth factor 8",v38_40,1
2254,"fibroblast growth factor 9",v02_40,1
2254,"fibroblast growth factor 9",v34_40,1
2257,"fibroblast growth factor 12",v01_40,1
2257,"fibroblast growth factor 12",v02_40,1
2257,"fibroblast growth factor 12",v03_40,1
2257,"fibroblast growth factor 12",v06_40,1
2257,"fibroblast growth factor 12",v25_40,1
2257,"fibroblast growth factor 12",v37_40,1
2258,"fibroblast growth factor 13",v06_40,1
2259,"fibroblast growth factor 14",v01_40,1
2259,"fibroblast growth factor 14",v02_40,1
2259,"fibroblast growth factor 14",v03_40,1
2259,"fibroblast growth factor 14",v35_40,1
2262,"glypican 5",v01_40,1
2262,"glypican 5",v03_40,1
2262,"glypican 5",v06_40,1
2262,"glypican 5",v07_40,1
2262,"glypican 5",v24_40,1
2262,"glypican 5",v34_40,1
2263,"fibroblast growth factor receptor 2",v04_40,1
2263,"fibroblast growth factor receptor 2",v07_40,1
2264,"fibroblast growth factor receptor 4",v14_40,1
2264,"fibroblast growth factor receptor 4",v29_40,1
2264,"fibroblast growth factor receptor 4",v30_40,1
2264,"fibroblast growth factor receptor 4",v31_40,1
2264,"fibroblast growth factor receptor 4",v32_40,1
2264,"fibroblast growth factor receptor 4",v34_40,1
2266,"fibrinogen gamma chain",v31_40,1
2266,"fibrinogen gamma chain",v37_40,1
2267,"fibrinogen like 1",v29_40,1
2267,"fibrinogen like 1",v31_40,1
2267,"fibrinogen like 1",v38_40,1
2268,"FGR proto-oncogene, Src family tyrosine kinase",v12_40,1
2268,"FGR proto-oncogene, Src family tyrosine kinase",v14_40,1
2268,"FGR proto-oncogene, Src family tyrosine kinase",v16_40,1
2268,"FGR proto-oncogene, Src family tyrosine kinase",v32_40,1
2271,"fumarate hydratase",v26_40,1
2271,"fumarate hydratase",v31_40,1
2272,"fragile histidine triad diadenosine triphosphatase",v34_40,1
2273,"four and a half LIM domains 1",v26_40,1
2275,"four and a half LIM domains 3",v26_40,1
2275,"four and a half LIM domains 3",v27_40,1
2275,"four and a half LIM domains 3",v29_40,1
2277,"vascular endothelial growth factor D",v32_40,1
2280,"FKBP prolyl isomerase 1A",v24_40,1
2281,"FKBP prolyl isomerase 1B",v01_40,1
2281,"FKBP prolyl isomerase 1B",v06_40,1
2281,"FKBP prolyl isomerase 1B",v38_40,1
2287,"FKBP prolyl isomerase 3",v26_40,1
2289,"FKBP prolyl isomerase 5",v15_40,1
2290,"forkhead box G1",v01_40,1
2290,"forkhead box G1",v04_40,1
2290,"forkhead box G1",v15_40,1
2290,"forkhead box G1",v24_40,1
2290,"forkhead box G1",v35_40,1
2294,"forkhead box F1",v21_40,1
2294,"forkhead box F1",v22_40,1
2294,"forkhead box F1",v28_40,1
2294,"forkhead box F1",v29_40,1
2294,"forkhead box F1",v30_40,1
2294,"forkhead box F1",v32_40,1
2295,"forkhead box F2",v21_40,1
2295,"forkhead box F2",v28_40,1
2295,"forkhead box F2",v29_40,1
2295,"forkhead box F2",v30_40,1
2295,"forkhead box F2",v32_40,1
2296,"forkhead box C1",v06_40,1
2296,"forkhead box C1",v10_40,1
2296,"forkhead box C1",v11_40,1
2296,"forkhead box C1",v34_40,1
2296,"forkhead box C1",v40_40,1
2297,"forkhead box D1",v06_40,1
2297,"forkhead box D1",v24_40,1
2299,"forkhead box I1",v34_40,1
2299,"forkhead box I1",v40_40,1
2303,"forkhead box C2",v10_40,1
2304,"forkhead box E1",v12_40,1
2304,"forkhead box E1",v27_40,1
2304,"forkhead box E1",v36_40,1
2305,"forkhead box M1",v15_40,1
2305,"forkhead box M1",v16_40,1
2305,"forkhead box M1",v24_40,1
2305,"forkhead box M1",v30_40,1
2306,"forkhead box D2",v06_40,1
2306,"forkhead box D2",v19_40,1
2306,"forkhead box D2",v30_40,1
2309,"forkhead box O3",v02_40,1
2309,"forkhead box O3",v16_40,1
2312,"filaggrin",v19_40,1
2312,"filaggrin",v27_40,1
2312,"filaggrin",v39_40,1
2313,"Fli-1 proto-oncogene, ETS transcription factor",v12_40,1
2313,"Fli-1 proto-oncogene, ETS transcription factor",v14_40,1
2313,"Fli-1 proto-oncogene, ETS transcription factor",v15_40,1
2313,"Fli-1 proto-oncogene, ETS transcription factor",v16_40,1
2313,"Fli-1 proto-oncogene, ETS transcription factor",v32_40,1
2314,"FLII actin remodeling protein",v26_40,1
2314,"FLII actin remodeling protein",v27_40,1
2315,"melan-A",v19_40,1
2315,"melan-A",v39_40,1
2318,"filamin C",v26_40,1
2319,"flotillin 2",v16_40,1
2319,"flotillin 2",v22_40,1
2322,"fms related receptor tyrosine kinase 3",v02_40,1
2322,"fms related receptor tyrosine kinase 3",v38_40,1
2324,"fms related receptor tyrosine kinase 4",v21_40,1
2326,"flavin containing dimethylaniline monoxygenase 1",v06_40,1
2326,"flavin containing dimethylaniline monoxygenase 1",v34_40,1
2326,"flavin containing dimethylaniline monoxygenase 1",v39_40,1
2327,"flavin containing dimethylaniline monoxygenase 2",v32_40,1
2328,"flavin containing dimethylaniline monoxygenase 3",v31_40,1
2328,"flavin containing dimethylaniline monoxygenase 3",v32_40,1
2328,"flavin containing dimethylaniline monoxygenase 3",v37_40,1
2329,"flavin containing dimethylaniline monoxygenase 4",v31_40,1
2329,"flavin containing dimethylaniline monoxygenase 4",v34_40,1
2330,"flavin containing dimethylaniline monoxygenase 5",v31_40,1
2334,"AF4/FMR2 family member 2",v02_40,1
2335,"fibronectin 1",v21_40,1
2335,"fibronectin 1",v31_40,1
2339,"farnesyltransferase, CAAX box, alpha",v07_40,1
2342,"farnesyltransferase, CAAX box, beta",v03_40,1
2342,"farnesyltransferase, CAAX box, beta",v04_40,1
2342,"farnesyltransferase, CAAX box, beta",v07_40,1
2346,"folate hydrolase 1",v01_40,1
2346,"folate hydrolase 1",v03_40,1
2346,"folate hydrolase 1",v04_40,1
2346,"folate hydrolase 1",v07_40,1
2346,"folate hydrolase 1",v22_40,1
2346,"folate hydrolase 1",v31_40,1
2346,"folate hydrolase 1",v40_40,1
2348,"folate receptor alpha",v21_40,1
2348,"folate receptor alpha",v23_40,1
2348,"folate receptor alpha",v32_40,1
2348,"folate receptor alpha",v34_40,1
